item_key,item_name,category_id,base_unit
1883 ROUTINE GREEN APPLE,1883 ROUTINE GREEN APPLE,beverage_main,ml
ACAR ONION,Acar Onion,sauce,g
ADONAN ROTI CHINA,Adonan roti China,food_main,pcs
ADONAN WAFFLE,ADONAN WAFFLE,food_main,g
ALAS KERTAS PUTIH BESAR,Alas kertas putih besar,condiment,pcs
ALAS KERTAS TRAY,Alas kertas tray,condiment,pcs
APEL BUAH,APEL BUAH,food_main,g
APPLE CINNAMON,APPLE CINNAMON,food_main,g
APPLE SYRUP MONIN,Apple Syrup Monin,beverage_main,ml
APPLE TEA SODA,Apple tea soda,beverage_main,ml
APPLE VINEGAR,Apple Vinegar,food_main,ml
AW 250 ML,AW 250 ML,beverage_main,pcs
AYAM FILLET,Ayam Fillet,critical,kg
BACON,BACON,food_main,g
BAKING POWDER HERCULES,BAKING POWDER HERCULES,food_main,g
BAKING POWDER KOEPOE,BAKING POWDER KOEPOE,food_main,g
BAKING SODA KOEPOE,Baking Soda Koepoe,food_main,g
BAWANG BOMBAY,BAWANG BOMBAY,food_main,g
BAWANG BOMBAY MERAH,BAWANG BOMBAY MERAH,beverage_main,g
BAWANG MERAH,Bawang Merah,food_main,g
BAWANG PUTIH,BAWANG PUTIH,food_main,g
BAYLEAF,BAYLEAF,food_main,g
BBQ,BBQ,sauce,g
BEANS HOT,Beans hot,beverage_main,g
BEANS ICE,Beans ice,beverage_main,g
BERAS,BERAS,beverage_main,g
BIG MAC,BIG MAC,sauce,g
BLACK PAPER POWDER,BLACK PAPER POWDER,food_main,g
BLACK TEA,BLACK TEA,beverage_main,g
BORA 250ML,BORA 250ml,beverage_main,pcs
BOWL KERTAS,Bowl Kertas,condiment,pcs
BOX CHICKEN WAFFLE (L),BOX CHICKEN WAFFLE (L),condiment,pcs
BOX NASI,BOX NASI,condiment,pcs
BOX SANDWHICH (M),BOX SANDWHICH (M),condiment,pcs
BROWN SUGAR,Brown Sugar,food_main,g
BROWN TOAST,Brown Toast,food_main,pcs
BUFFALO,BUFFALO,sauce,g
BUMBU NASHVILLE KERING,BUMBU NASHVILLE KERING,beverage_main,g
BUMBU TEPUNG AYAM,BUMBU TEPUNG AYAM,beverage_main,g
BURGER BUN,BURGER BUN,food_main,pcs
BUTTER UNSALTED,Butter Unsalted,critical,kg
CABAI RAWIT,CABAI RAWIT,food_main,g
CABAI TEROPONG HIJAU,CABAI TEROPONG HIJAU,food_main,g
CARAMEL SAUCE,CARAMEL SAUCE,beverage_main,ml
CAYENNE POWDER,CAYENNE POWDER,food_main,g
CEKER AYAM,Ceker Ayam,food_main,g
CENGKEH,Cengkeh,food_main,g
CHEDDAR BLOCK,CHEDDAR BLOCK,food_main,g
CHICKEN SANDWICH,CHICKEN SANDWICH,sauce,g
CHILI FLAKE,Chili Flake,food_main,g
CHILI OIL,Chili oil,food_main,g
CHILLI POWDER YUTAKACHI,CHILLI POWDER YUTAKACHI,food_main,g
CHIPOTLE DRESSING,Chipotle dressing,sauce,g
CHIPOTLE KALENG,Chipotle kaleng,food_main,g
CINNAMON POWDER,CINNAMON POWDER,food_main,g
COKELAT COUVERTURE,Cokelat Couverture,critical,kg
COKLAT POWDER,COKLAT POWDER,food_main,g
COLA 250 ML,COLA 250 ML,beverage_main,pcs
COLATTA CHOCOCHIPS,COLATTA CHOCOCHIPS,food_main,g
COLESLAW,COLESLAW,beverage_main,g
COOKING CREAM,COOKING CREAM,food_main,ml
CREAM CHEESE,CREAM CHEESE,sauce,g
CREAMER,CREAMER,condiment,g
CREAMER BUBUK,Creamer bubuk,beverage_main,g
CREAMER CAIR,Creamer cair,beverage_main,ml
CREAMY BUTTERMILK SAUCE,CREAMY BUTTERMILK SAUCE,sauce,ml
CREAMY LEMON GARLIC,CREAMY LEMON GARLIC,sauce,pcs
CRUMBLE LOTUS,Crumble lotus,beverage_main,g
CUKA,CUKA,food_main,pcs
CUP 14 OZ,CUP 14 OZ,condiment,pcs
CUP 150 ML,Cup 150 ml,condiment,pcs
CUP ICE CREAM LAR,CUP ICE CREAM Lar,condiment,pcs
CUP LAJU,Cup laju,condiment,pcs
CUP SAOS PLASTIK 35 ML,CUP SAOS PLASTIK 35 ML,condiment,pcs
CUP SAOS PLASTIK 60 ML,CUP SAOS PLASTIK 60 ML,condiment,pcs
CUP SAOS STAINLESS,CUP SAOS STAINLESS,condiment,pcs
CURRY HIJAU,CURRY HIJAU,sauce,g
DADA AYAM,DADA AYAM,food_main,g
DADA AYAM MARINASI,DADA AYAM MARINASI,food_main,g
DAGING SAPI SIRLOIN,Daging Sapi Sirloin,critical,kg
DAUN BAWANG,Daun bawang,food_main,g
DAUN CURRY,Daun curry,food_main,g
DAUN JERUK,DAUN JERUK,food_main,g
DAUN KETUMBAR,Daun Ketumbar,food_main,g
DAUN KUCAI,Daun kucai,food_main,g
DAUN SALAM,Daun salam,food_main,g
DELIVERY BAG IDOLA 15,DELIVERY BAG IDOLA 15,condiment,pcs
DELIVERY BAG IDOLA 24,DELIVERY BAG IDOLA 24,condiment,pcs
DELIVERY BAG IDOLA 30,DELIVERY BAG IDOLA 30,condiment,pcs
DELIVERY BAG PARTY 20,DELIVERY BAG PARTY 20,condiment,pcs
DELIVERY BAG PARTY 28,DELIVERY BAG PARTY 28,condiment,pcs
DIAMOND ICE CREAM VANILLA,DIAMOND ICE CREAM VANILLA,beverage_main,ml
DIAMOND SOFT MIX CHOCOLATE,DIAMOND SOFT MIX CHOCOLATE,beverage_main,ml
DIAMOND SOFT MIX VANILLA,DIAMOND SOFT MIX VANILLA,beverage_main,ml
DIAMOND UHT,DIAMOND UHT,food_main,pcs
DIAMOND UHT COKLAT,DIAMOND UHT COKLAT,food_main,ml
