item_id,item_code,item_name,category_id,item_type,base_unit,latest_purchase_price,minimum_stock,criticality,tolerance_variance_percentage,active_status,created_at,created_by,item_key,notes
ITM-0001,,1883 ROUTINE GREEN APPLE,beverage_main,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,1883 ROUTINE GREEN APPLE,
ITM-0002,,Acar Onion,sauce,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,ACAR ONION,
ITM-0003,,Adonan roti China,food_main,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,ADONAN ROTI CHINA,
ITM-0004,,ADONAN WAFFLE,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,ADONAN WAFFLE,
ITM-0005,,Alas kertas putih besar,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,ALAS KERTAS PUTIH BESAR,
ITM-0006,,Alas kertas tray,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,ALAS KERTAS TRAY,
ITM-0007,,APEL BUAH,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,APEL BUAH,
ITM-0008,,APPLE CINNAMON,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,APPLE CINNAMON,
ITM-0009,,Apple Syrup Monin,beverage_main,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,APPLE SYRUP MONIN,
ITM-0010,,Apple tea soda,beverage_main,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,APPLE TEA SODA,
ITM-0011,,Apple Vinegar,food_main,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,APPLE VINEGAR,
