expense_id,date,item_name,qty,unit,debit,kredit,saldo,month,source_sheet,item_key,is_topup
PCE-0001,2026-01-01,Additional Petty Cash,1.0,time,0.0,2000000.0,2000000.0,Januari,Expense Januari,ADDITIONAL PETTY CASH,True
PCE-0002,2026-01-01,plastic shopbag,1.0,pcs,300.0,0.0,1999700.0,Januari,Expense Januari,PLASTIC SHOPBAG,False
PCE-0003,2026-01-01,Susu UHT Plain 1L,2.0,pcs,44800.0,0.0,1954900.0,Januari,Expense Januari,SUSU UHT PLAIN 1L,False
PCE-0004,2026-01-01,Diamond Full Cream 1L,1.0,pcs,22500.0,0.0,1932400.0,Januari,Expense Januari,DIAMOND FULL CREAM 1L,False
PCE-0005,2026-01-01,Air Isi Ulang,2.0,pcs,14000.0,0.0,1918400.0,Januari,Expense Januari,AIR ISI ULANG,False
PCE-0006,2026-01-01,es,2.0,pax,20000.0,0.0,1898400.0,Januari,Expense Januari,ES,False
PCE-0007,2026-01-01,ongkir berlyanfood,0.0,,25000.0,0.0,1873400.0,Januari,Expense Januari,ONGKIR BERLYANFOOD,False
PCE-0008,2026-01-01,Sewa HP Spotify (Desember - Januari),0.0,,100000.0,0.0,1773400.0,Januari,Expense Januari,SEWA HP SPOTIFY (DESEMBER - JANUARI),False
PCE-0009,2026-01-01,Minyak Kita 1L,36.0,pcs,645000.0,0.0,1128400.0,Januari,Expense Januari,MINYAK KITA 1L,False
PCE-0010,2026-01-01,Telur,5.0,kg,142500.0,0.0,985900.0,Januari,Expense Januari,TELUR,False
PCE-0011,2026-01-01,Bawang Putih,500.0,gr,19000.0,0.0,966900.0,Januari,Expense Januari,BAWANG PUTIH,False
PCE-0012,2026-01-01,Ultra Milk Full Cream Plain Susu UHT 1L,5.0,pcs,104090.0,0.0,862810.0,Januari,Expense Januari,ULTRA MILK FULL CREAM PLAIN SUSU UHT 1L,False
PCE-0013,2026-01-01,Ultra Milk Full Cream Plain Susu UHT 1L,5.0,pcs,104090.0,0.0,758720.0,Januari,Expense Januari,ULTRA MILK FULL CREAM PLAIN SUSU UHT 1L,False
PCE-0014,2026-01-01,Ultra Milk Full Cream Plain Susu UHT 1L,2.0,pcs,42836.0,0.0,715884.0,Januari,Expense Januari,ULTRA MILK FULL CREAM PLAIN SUSU UHT 1L,False
PCE-0015,2026-01-02,Bogasari Segitiga Biru 1kg,12.0,pcs,186000.0,0.0,529884.0,Januari,Expense Januari,BOGASARI SEGITIGA BIRU 1KG,False
PCE-0016,2026-01-02,Solo Corner Straight -handle Umbrella White,1.0,pcs,69900.0,0.0,459984.0,Januari,Expense Januari,SOLO CORNER STRAIGHT -HANDLE UMBRELLA WHITE,False
PCE-0017,2026-01-02,Aqua Galon,1.0,pcs,22000.0,0.0,437984.0,Januari,Expense Januari,AQUA GALON,False
PCE-0018,2026-01-02,Air Isi Ulang,1.0,pcs,7000.0,0.0,430984.0,Januari,Expense Januari,AIR ISI ULANG,False
PCE-0019,2026-01-02,es,2.0,pax,18000.0,0.0,412984.0,Januari,Expense Januari,ES,False
PCE-0020,2026-01-02,Royco Ayam 1kg,1.0,pcs,55000.0,0.0,357984.0,Januari,Expense Januari,ROYCO AYAM 1KG,False
PCE-0021,2026-01-02,Cabe Pedas 1kg,1.0,pcs,82000.0,0.0,275984.0,Januari,Expense Januari,CABE PEDAS 1KG,False
PCE-0022,2026-01-02,Indo Ice Cream Vanilla 8L,1.0,box,165000.0,0.0,110984.0,Januari,Expense Januari,INDO ICE CREAM VANILLA 8L,False
PCE-0023,2026-01-02,"Delmonte Sauce Extra Hot 5,5kg",1.0,jerigen,112000.0,0.0,-1016.0,Januari,Expense Januari,"DELMONTE SAUCE EXTRA HOT 5,5KG",False
PCE-0024,2026-01-02,"Delmonte Sauce Tomat 5,7kg",1.0,jerigen,92000.0,0.0,-93016.0,Januari,Expense Januari,"DELMONTE SAUCE TOMAT 5,7KG",False
PCE-0025,2026-01-02,Anchor Butter 1kg,2.0,pax,308000.0,0.0,-401016.0,Januari,Expense Januari,ANCHOR BUTTER 1KG,False
PCE-0026,2026-01-03,Pisang Cavendish Sunpride,1.0,sisir,29200.0,0.0,-430216.0,Januari,Expense Januari,PISANG CAVENDISH SUNPRIDE,False
PCE-0027,2026-01-03,Beras Sedap Wangi 5kg,1.0,pcs,81000.0,0.0,-511216.0,Januari,Expense Januari,BERAS SEDAP WANGI 5KG,False
PCE-0028,2026-01-03,Minyak Kita 1L,12.0,pcs,210000.0,0.0,-721216.0,Januari,Expense Januari,MINYAK KITA 1L,False
PCE-0029,2026-01-03,Whipping Cream Millac Gold 1L,1.0,pcs,77000.0,0.0,-798216.0,Januari,Expense Januari,WHIPPING CREAM MILLAC GOLD 1L,False
PCE-0030,2026-01-03,Gulaku Gula TB PR,2.0,pcs,35000.0,0.0,-833216.0,Januari,Expense Januari,GULAKU GULA TB PR,False
PCE-0031,2026-01-03,365 Minyak Goreng Pch,1.0,pcs,19900.0,0.0,-853116.0,Januari,Expense Januari,365 MINYAK GORENG PCH,False
PCE-0032,2026-01-03,Kol Merah Whl,374.0,gr,24290.0,0.0,-877406.0,Januari,Expense Januari,KOL MERAH WHL,False
PCE-0033,2026-01-03,Kol Putih,514.0,gr,7145.0,0.0,-884551.0,Januari,Expense Januari,KOL PUTIH,False
PCE-0034,2026-01-03,Lettuce,402.0,gr,22070.0,0.0,-906621.0,Januari,Expense Januari,LETTUCE,False
PCE-0035,2026-01-03,Lettuce,264.0,gr,14495.0,0.0,-921116.0,Januari,Expense Januari,LETTUCE,False
PCE-0036,2026-01-03,es,1.0,pax,9000.0,0.0,-930116.0,Januari,Expense Januari,ES,False
PCE-0037,2026-01-03,Indomilk UHT 1L,10.0,pcs,200000.0,0.0,-1130116.0,Januari,Expense Januari,INDOMILK UHT 1L,False
PCE-0038,2026-01-03,Indomilk UHT 1L,6.0,pcs,120000.0,0.0,-1250116.0,Januari,Expense Januari,INDOMILK UHT 1L,False
PCE-0039,2026-01-03,Minyak Kita 1L,12.0,pcs,215000.0,0.0,-1465116.0,Januari,Expense Januari,MINYAK KITA 1L,False
PCE-0040,2026-01-03,Beras Ladang 5kg,1.0,pcs,77000.0,0.0,-1542116.0,Januari,Expense Januari,BERAS LADANG 5KG,False
PCE-0041,2026-01-03,Isi Token Listrik via BCA,0.0,,203000.0,0.0,-1745116.0,Januari,Expense Januari,ISI TOKEN LISTRIK VIA BCA,False
PCE-0042,2026-01-03,Perbaikan Instalasi Auto Elemen Cuci Body Mesin Waffle,0.0,,250000.0,0.0,-1995116.0,Januari,Expense Januari,PERBAIKAN INSTALASI AUTO ELEMEN CUCI BODY MESIN WAFFLE,False
PCE-0043,2026-01-03,Iuran Sampah Januari,0.0,,400000.0,0.0,-2395116.0,Januari,Expense Januari,IURAN SAMPAH JANUARI,False
PCE-0044,2026-01-04,es,2.0,pax,18000.0,0.0,-2413116.0,Januari,Expense Januari,ES,False
PCE-0045,2026-01-04,ongkir berlyanfood,0.0,,17000.0,0.0,-2430116.0,Januari,Expense Januari,ONGKIR BERLYANFOOD,False
PCE-0046,2026-01-04,Nutella 3kg,1.0,pcs,525000.0,0.0,-2955116.0,Januari,Expense Januari,NUTELLA 3KG,False
PCE-0047,2026-01-04,Mosa Soda Chargers,10.0,pcs,75000.0,0.0,-3030116.0,Januari,Expense Januari,MOSA SODA CHARGERS,False
PCE-0048,2026-01-04,Milac Gold Cooking Cream 1L ,1.0,pcs,72000.0,0.0,-3102116.0,Januari,Expense Januari,MILAC GOLD COOKING CREAM 1L,False
PCE-0049,2026-01-05,Bogasari Segitiga Biru 1kg,9.0,pcs,139500.0,0.0,-3241616.0,Januari,Expense Januari,BOGASARI SEGITIGA BIRU 1KG,False
PCE-0050,2026-01-05,Bogasari Cakra Kembar 1kg,6.0,pcs,96000.0,0.0,-3337616.0,Januari,Expense Januari,BOGASARI CAKRA KEMBAR 1KG,False
PCE-0051,2026-01-05,es,2.0,pax,19000.0,0.0,-3356616.0,Januari,Expense Januari,ES,False
PCE-0052,2026-01-05,Telur,3.0,kg,84000.0,0.0,-3440616.0,Januari,Expense Januari,TELUR,False
PCE-0053,2026-01-05,Tomat Beef Fresh,1020.0,gr,30550.0,0.0,-3471166.0,Januari,Expense Januari,TOMAT BEEF FRESH,False
PCE-0054,2026-01-05,Sunpride Pisang W,824.0,gr,22165.0,0.0,-3493331.0,Januari,Expense Januari,SUNPRIDE PISANG W,False
PCE-0055,2026-01-05,parkir superindo,1.0,x,2000.0,0.0,-3495331.0,Januari,Expense Januari,PARKIR SUPERINDO,False
PCE-0056,2026-01-05,Nestle Pure Life 600ml,48.0,pcs,91200.0,0.0,-3586531.0,Januari,Expense Januari,NESTLE PURE LIFE 600ML,False
PCE-0057,2026-01-05,Diamond Full Cream 1L,12.0,pcs,235000.0,0.0,-3821531.0,Januari,Expense Januari,DIAMOND FULL CREAM 1L,False
PCE-0058,2026-01-05,Ultra Milk Full Cream Plain Susu UHT 1L,12.0,pcs,246000.0,0.0,-4067531.0,Januari,Expense Januari,ULTRA MILK FULL CREAM PLAIN SUSU UHT 1L,False
PCE-0059,2026-01-05,Aqua Galon,2.0,pcs,44000.0,0.0,-4111531.0,Januari,Expense Januari,AQUA GALON,False
PCE-0060,2026-01-05,Salmon Frozen Fillet Skin On,1.5,kg,393110.0,0.0,-4504641.0,Januari,Expense Januari,SALMON FROZEN FILLET SKIN ON,False
PCE-0061,2026-01-05,Peanut Butter Creamy 500gr,4.0,pcs,196800.0,0.0,-4701441.0,Januari,Expense Januari,PEANUT BUTTER CREAMY 500GR,False
PCE-0062,2026-01-05,UHT Milk Full Cream Sleeve 1000ml Plain 1L,36.0,pcs,579224.0,0.0,-5280665.0,Januari,Expense Januari,UHT MILK FULL CREAM SLEEVE 1000ML PLAIN 1L,False
PCE-0063,2026-01-05,Lotus Biscoff 250gr,5.0,pax,172842.0,0.0,-5453507.0,Januari,Expense Januari,LOTUS BISCOFF 250GR,False
PCE-0064,2026-01-05,PPN Sukanda,0.0,,104375.0,0.0,-5557882.0,Januari,Expense Januari,PPN SUKANDA,False
PCE-0065,2026-01-05,Cream Whipping Millac Gold 1L,3.0,pcs,220462.0,0.0,-5778344.0,Januari,Expense Januari,CREAM WHIPPING MILLAC GOLD 1L,False
PCE-0066,2026-01-06,es,2.0,pax,20000.0,0.0,-5798344.0,Januari,Expense Januari,ES,False
PCE-0067,2026-01-06,Santos Oren Scp 32 F Powder Creamer 1kg,5.0,pax,240000.0,0.0,-6038344.0,Januari,Expense Januari,SANTOS OREN SCP 32 F POWDER CREAMER 1KG,False
PCE-0068,2026-01-06,Indo Ice Cream Vanilla 8L,1.0,box,165000.0,0.0,-6203344.0,Januari,Expense Januari,INDO ICE CREAM VANILLA 8L,False
PCE-0069,2026-01-06,Frutaneira Ecoline Peach Halves in Syrup 8500gr,4.0,cans,200000.0,0.0,-6403344.0,Januari,Expense Januari,FRUTANEIRA ECOLINE PEACH HALVES IN SYRUP 8500GR,False
PCE-0070,2026-01-06,Milac Gold Cooking Cream 1L ,2.0,pax,144000.0,0.0,-6547344.0,Januari,Expense Januari,MILAC GOLD COOKING CREAM 1L,False
PCE-0071,2026-01-06,Garam Refina 250gr,40.0,pcs,160000.0,0.0,-6707344.0,Januari,Expense Januari,GARAM REFINA 250GR,False
PCE-0072,2026-01-06,Nestle Pure Life 600ml,96.0,pcs,180000.0,0.0,-6887344.0,Januari,Expense Januari,NESTLE PURE LIFE 600ML,False
PCE-0073,2026-01-06,ongkir lalamove mineral,0.0,,30000.0,0.0,-6917344.0,Januari,Expense Januari,ONGKIR LALAMOVE MINERAL,False
PCE-0074,2026-01-06,Telur,3.0,kg,82500.0,0.0,-6999844.0,Januari,Expense Januari,TELUR,False
PCE-0075,2026-01-06,Minyak Kita 1L,36.0,pcs,645000.0,0.0,-7644844.0,Januari,Expense Januari,MINYAK KITA 1L,False
PCE-0076,2026-01-06,Cabe Rawit,500.0,gr,25200.0,0.0,-7670044.0,Januari,Expense Januari,CABE RAWIT,False
PCE-0077,2026-01-06,Additional Petty Cash,1.0,time,0.0,6377671.0,-1292373.0,Januari,Expense Januari,ADDITIONAL PETTY CASH,True
PCE-0078,2026-01-07,Bola Deli Tepung Maizena 1kg,10.0,pcs,158445.0,0.0,-1450818.0,Januari,Expense Januari,BOLA DELI TEPUNG MAIZENA 1KG,False
PCE-0079,2026-01-07,Segitiga Biru Premium 1kg,7.0,pcs,93555.0,0.0,-1544373.0,Januari,Expense Januari,SEGITIGA BIRU PREMIUM 1KG,False
PCE-0080,2026-01-07,es,3.0,pax,30000.0,0.0,-1574373.0,Januari,Expense Januari,ES,False
PCE-0081,2026-01-07,Alpara Caps 10s (1 strip),1.0,pcs,10000.0,0.0,-1584373.0,Januari,Expense Januari,ALPARA CAPS 10S (1 STRIP),False
PCE-0082,2026-01-07,Panadol Extra (1 strip),1.0,pcs,15000.0,0.0,-1599373.0,Januari,Expense Januari,PANADOL EXTRA (1 STRIP),False
PCE-0083,2026-01-07,Onion Powder 1kg,1.0,pcs,60000.0,0.0,-1659373.0,Januari,Expense Januari,ONION POWDER 1KG,False
PCE-0084,2026-01-07,Garlic Powder 1kg,1.0,pcs,50000.0,0.0,-1709373.0,Januari,Expense Januari,GARLIC POWDER 1KG,False
PCE-0085,2026-01-07,Royco Ayam 1kg,1.0,pax,43000.0,0.0,-1752373.0,Januari,Expense Januari,ROYCO AYAM 1KG,False
PCE-0086,2026-01-07,Ajinomoto MSG 1kg x 12,1.0,pax,53000.0,0.0,-1805373.0,Januari,Expense Januari,AJINOMOTO MSG 1KG X 12,False
PCE-0087,2026-01-07,Cheese Parmesan,1.0,kg,204000.0,0.0,-2009373.0,Januari,Expense Januari,CHEESE PARMESAN,False
PCE-0088,2026-01-07,Beras Lesung Padi 5kg,1.0,pcs,82500.0,0.0,-2091873.0,Januari,Expense Januari,BERAS LESUNG PADI 5KG,False
PCE-0089,2026-01-07,Whole Brown Bread 1200gr (03/01),6.0,pax,331200.0,0.0,-2423073.0,Januari,Expense Januari,WHOLE BROWN BREAD 1200GR (03/01),False
PCE-0090,2026-01-08,Air Isi Ulang,2.0,pcs,14000.0,0.0,-2437073.0,Januari,Expense Januari,AIR ISI ULANG,False
PCE-0091,2026-01-08,Straightcut 2kg x 6 polos,12.0,pax,696000.0,0.0,-3133073.0,Januari,Expense Januari,STRAIGHTCUT 2KG X 6 POLOS,False
PCE-0092,2026-01-08,Anchor Butter 1kg,1.0,pax,154000.0,0.0,-3287073.0,Januari,Expense Januari,ANCHOR BUTTER 1KG,False
PCE-0093,2026-01-08,Strawberry (Laju),1.0,pax,9000.0,0.0,-3296073.0,Januari,Expense Januari,STRAWBERRY (LAJU),False
PCE-0094,2026-01-08,Pisang Cavendish Sunpride,0.6388,gr,15000.0,0.0,-3311073.0,Januari,Expense Januari,PISANG CAVENDISH SUNPRIDE,False
PCE-0095,2026-01-08,parkir bumi buah,1.0,x,2000.0,0.0,-3313073.0,Januari,Expense Januari,PARKIR BUMI BUAH,False
PCE-0096,2026-01-08,Beras Lesung Padi 5kg,1.0,pcs,82500.0,0.0,-3395573.0,Januari,Expense Januari,BERAS LESUNG PADI 5KG,False
PCE-0097,2026-01-08,Idm Cuka Btl 150ml,3.0,pcs,17400.0,0.0,-3412973.0,Januari,Expense Januari,IDM CUKA BTL 150ML,False
PCE-0098,2026-01-08,Chilli Crushed 350gr,1.0,pcs,85500.0,0.0,-3498473.0,Januari,Expense Januari,CHILLI CRUSHED 350GR,False
PCE-0099,2026-01-08,GM Bumbu Italian 150gr,1.0,pcs,43000.0,0.0,-3541473.0,Januari,Expense Januari,GM BUMBU ITALIAN 150GR,False
PCE-0100,2026-01-08,parkir gluckmart,1.0,x,2000.0,0.0,-3543473.0,Januari,Expense Januari,PARKIR GLUCKMART,False
PCE-0101,2026-01-08,Indomilk UHT Cho9,2.0,pcs,28970.0,0.0,-3572443.0,Januari,Expense Januari,INDOMILK UHT CHO9,False
PCE-0102,2026-01-08,Kol Putih,498.0,gr,7420.0,0.0,-3579863.0,Januari,Expense Januari,KOL PUTIH,False
PCE-0103,2026-01-08,Cabe Paprika Hijau,1.0,pcs,16900.0,0.0,-3596763.0,Januari,Expense Januari,CABE PAPRIKA HIJAU,False
PCE-0104,2026-01-08,Kol Merah Whl,418.0,gr,27150.0,0.0,-3623913.0,Januari,Expense Januari,KOL MERAH WHL,False
PCE-0105,2026-01-08,"Keni Pipa ukuran 0,5",2.0,pcs,9000.0,0.0,-3632913.0,Januari,Expense Januari,"KENI PIPA UKURAN 0,5",False
PCE-0106,2026-01-08,"Pipa T ukuran 0,5",1.0,pcs,5000.0,0.0,-3637913.0,Januari,Expense Januari,"PIPA T UKURAN 0,5",False
