digit,actual_pct,benford_pct,dataset
1,23.34,30.1,purchase_unit_price
2,19.36,17.61,purchase_unit_price
3,11.62,12.49,purchase_unit_price
4,19.69,9.69,purchase_unit_price
5,10.07,7.92,purchase_unit_price
6,4.76,6.69,purchase_unit_price
7,5.86,5.8,purchase_unit_price
8,2.54,5.12,purchase_unit_price
9,2.77,4.58,purchase_unit_price
1,29.76,30.1,petty_cash_debit
2,24.06,17.61,petty_cash_debit
3,6.25,12.49,petty_cash_debit
4,7.73,9.69,petty_cash_debit
5,8.49,7.92,petty_cash_debit
6,5.3,6.69,petty_cash_debit
7,9.28,5.8,petty_cash_debit
8,4.94,5.12,petty_cash_debit
9,4.18,4.58,petty_cash_debit
