item_key,supplier_key,purchases,first_date,first_price,last_date,last_price,change_pct
GARAM MASALA,BERLYAN FOOD,3,2026-04-04,110.0,2026-07-11,55000.0,49900.0
COKLAT BUBUK VAN HOUTEN,BERLYAN FOOD,2,2026-01-20,28000.0,2026-02-27,49000.0,75.0
PPN,PT PRIMA PRATAMA TUMBUH,2,2026-02-26,58865.1,2026-04-08,84195.0,43.0
SABUN CUCI PIRING,PT PRIMA PRATAMA TUMBUH,2,2026-02-26,37100.0,2026-04-08,44000.0,18.6
COCA COLA CAN,PT ESA CAKRAWALA CEMERLANG,2,2026-02-19,113100.0,2026-06-23,131800.0,16.5
BAKING POWDER HERCULES,BERLYAN FOOD,18,2026-01-02,21500.0,2026-06-24,25000.0,16.3
KNORR CHEESE,BERLYAN FOOD,7,2026-01-05,259000.0,2026-06-24,297000.0,14.7
FULL ARABICA (LAJU DEMANGAN),LAJU KOPI,4,2026-01-09,230000.0,2026-02-28,260000.0,13.0
COCA COLA CAN 250ML,PT ESA CAKRAWALA CEMERLANG,2,2026-01-29,116800.0,2026-06-13,131800.0,12.8
ANCHOR UNSALTED BUTTER PORTION,BERLYAN FOOD,6,2026-01-29,2700.0,2026-04-20,3000.0,11.1
ANCHOR UNSALTED BUTTER PORTION 7GR,BERLYAN FOOD,18,2026-01-21,2700.0,2026-07-12,3000.0,11.1
LEE KUM KE SAUS TIRAM,BERLYAN FOOD,2,2026-01-29,60000.0,2026-05-18,66000.0,10.0
LEE KUM KEE SAUS TIRAM,BERLYAN FOOD,2,2026-01-01,67000.0,2026-07-02,60000.0,-10.4
MC LEWIS CHILI SACHET,BERLYAN FOOD,4,2026-01-23,7000.0,2026-06-26,6100.0,-12.9
CHEFMATE CHOCOCHIPS,BERLYAN FOOD,2,2026-04-16,100.0,2026-04-19,83.0,-17.0
GARLIC POWDER,INDOGUNA JOGJA,2,2026-01-14,80000.0,2026-04-27,60000.0,-25.0
OREGANO,BERLYAN FOOD,2,2026-05-18,160.0,2026-05-24,119.0,-25.6
ADES,PT ESA CAKRAWALA CEMERLANG,4,2026-01-07,59600.0,2026-07-08,39000.0,-34.6
COLLATA CHOCOCHIPS,BERLYAN FOOD,9,2026-01-04,40500.0,2026-06-29,20250.0,-50.0
PPN,INDOGUNA JOGJA,7,2026-01-14,123860.0,2026-06-10,45760.0,-63.1
MAIZENAKU,BERLYAN FOOD,7,2026-02-21,24000.0,2026-05-23,8000.0,-66.7
HONIKA MAIZENA,BERLYAN FOOD,4,2026-01-03,22000.0,2026-01-27,7000.0,-68.2
SEE U HANDTOWEL,BUANA SUPLAINDO,3,2026-02-07,135000.0,2026-07-01,6750.0,-95.0
PARSLEY KERING,BERLYAN FOOD,3,2026-01-27,40000.0,2026-04-16,400.0,-99.0
WESTGOLD UNSALTED BUTTER,BERLYAN FOOD,3,2026-04-11,96500.0,2026-05-24,193.0,-99.8
