item_key,prev,last,delta,prev_date,last_date
DADA AYAM MARINASI,11665.0,32845.0,21180.0,2026-06-04,2026-07-02
TEPUNG SEGITIGA BIRU,18405.0,3000.0,-15405.0,2026-06-04,2026-07-02
FF CRISSCUT,5985.0,21170.0,15185.0,2026-06-04,2026-07-02
MAPPLE SYRUP,2210.0,15556.0,13346.0,2026-06-04,2026-07-02
SABUN CUCI PIRING,13750.0,448.0,-13302.0,2026-06-04,2026-07-02
HAND SOAP,17500.0,4662.0,-12838.0,2026-06-04,2026-07-02
MINYAK GORENG,25000.0,37000.0,12000.0,2026-06-04,2026-07-02
ES BATU,77.0,12000.0,11923.0,2026-06-04,2026-07-02
SAOS TOMAT,2500.0,12875.0,10375.0,2026-06-04,2026-07-02
SAOS SAMBAL,980.0,11100.0,10120.0,2026-06-04,2026-07-02
GARAM,11530.0,3028.0,-8502.0,2026-06-04,2026-07-02
TELUR AYAM,3073.0,10914.0,7841.0,2026-06-04,2026-07-02
TEPUNG CAKRA KEMBAR,4560.0,11295.0,6735.0,2026-06-04,2026-07-02
GULA CAIR,776.0,6420.0,5644.0,2026-06-04,2026-07-02
MONIN PEACH SYRUP,7100.0,1600.0,-5500.0,2026-06-04,2026-07-02
DIAMOND UHT,8000.0,2654.0,-5346.0,2026-06-04,2026-07-02
APPLE TEA SODA,0.0,4500.0,4500.0,2026-06-04,2026-07-02
FF STRAIGH CUT,5150.0,9210.0,4060.0,2026-06-04,2026-07-02
TIKKA MASALA,779.0,4830.0,4051.0,2026-06-04,2026-07-02
TOMATO PELLED,2500.0,5000.0,2500.0,2026-06-04,2026-07-02
MC LEWIS MAYONAISE,4875.0,2464.0,-2411.0,2026-06-04,2026-07-02
SUNFLOWER OIL,2759.0,376.0,-2383.0,2026-06-04,2026-07-02
KUBIS UNGU,3800.0,1517.0,-2283.0,2026-06-04,2026-07-02
MADU,2172.0,0.0,-2172.0,2026-06-04,2026-07-02
PAPER BAG PUTIH,54.0,2160.0,2106.0,2026-06-04,2026-07-02
COOKING CREAM,3500.0,1396.0,-2104.0,2026-06-04,2026-07-02
PAPER BAG MERAH,0.0,2070.0,2070.0,2026-06-04,2026-07-02
HOT LAVA SAUCE,2065.0,0.0,-2065.0,2026-06-04,2026-07-02
CHIPOTLE KALENG,705.0,2744.0,2039.0,2026-06-04,2026-07-02
