supplier_key,orders,total_spend,avg_order,items,first,last,spend_share_pct
CV AGUNG MAKMUR REZEKI,199,155077140.0,779282.1105527638,10,2026-01-03,2026-07-11,47.2
BERLYAN FOOD,491,55758005.0,113560.0916496945,120,2026-01-01,2026-07-12,17.0
PT ESA CAKRAWALA CEMERLANG,52,18694250.0,359504.8076923077,22,2026-01-07,2026-07-08,5.7
LAJU KOPI,60,15748500.0,262475.0,32,2026-01-01,2026-06-30,4.8
PT KARUNIA SUKSES GEMILANG,3,12363624.0,4121208.0,3,2026-01-30,2026-05-29,3.8
INDOGUNA JOGJA,29,11448160.4,394764.15172413795,15,2026-01-14,2026-06-10,3.5
PANEN LENTERA JAYA,7,10116000.0,1445142.857142857,3,2026-01-07,2026-06-13,3.1
PT PANGAN LESTARI,10,7857600.88,785760.088,9,2026-01-28,2026-07-04,2.4
YOGYAKARTAS,4,5607000.0,1401750.0,4,2026-02-17,2026-05-12,1.7
SINNAR LUCIANA JAYA,4,5504712.0,1376178.0,1,2026-04-11,2026-07-05,1.7
PT SOEJASH BALI,3,4680000.64,1560000.2133333331,3,2026-02-11,2026-05-12,1.4
PT LENTERA JAYA,4,3934000.0,983500.0,4,2026-05-15,2026-07-11,1.2
BUANA SUPLAINDO,11,3892000.0,353818.1818181818,8,2026-01-21,2026-07-01,1.2
YOS CREATIVE,3,3400000.0,1133333.3333333333,3,2026-03-10,2026-06-17,1.0
PT KBAL,4,2916000.0,729000.0,1,2026-02-19,2026-05-29,0.9
PT PRIMA PRATAMA TUMBUH,10,2721099.7,272109.97000000003,7,2026-02-26,2026-05-28,0.8
ORCHID PACKAGING,2,2317500.0,1158750.0,2,2026-04-11,2026-05-12,0.7
PRIMASARI ETERNA,4,1425240.0,356310.0,3,2026-04-11,2026-05-16,0.4
PT PRIMASARI ETERNA,1,919080.0,919080.0,1,2026-03-10,2026-03-10,0.3
UD PRIMA PRATAMA,4,736000.0,184000.0,2,2026-04-14,2026-05-28,0.2
ADIMADWITUNGGAL,1,683320.0,683320.0,1,2026-07-08,2026-07-08,0.2
PANGAN LESTARI,1,647999.78,647999.78,1,2026-05-06,2026-05-06,0.2
PRIMA PRATAMA,2,460000.0,230000.0,2,2026-07-03,2026-07-03,0.1
SEKAR PIZZA,1,431975.0,431975.0,1,2026-01-09,2026-01-09,0.1
BUANA SUPLAIDO,1,405000.0,405000.0,1,2026-05-16,2026-05-16,0.1
UD BUANA SUPLAINDO,1,275000.0,275000.0,1,2026-02-18,2026-02-18,0.1
PRIMA PRATAMA TUMBUH,1,230000.0,230000.0,1,2026-05-05,2026-05-05,0.1
