item_key,item_name,category_key,count_date,qty_counted,unit,source_sheet
1883 ROUTINE GREEN APPLE,1883 ROUTINE GREEN APPLE,beverage_main,2026-02-05,0.0,ml,5 Februari 2026
MINERAL WATER 600ML,MINERAL WATER 600ML,beverage_main,2026-02-05,120.0,pcs,5 Februari 2026
ADONAN WAFFLE,ADONAN WAFFLE,food_main,2026-02-05,1273.0,g,5 Februari 2026
APEL BUAH,APEL BUAH,food_main,2026-02-05,0.0,g,5 Februari 2026
APPLE CINNAMON,APPLE CINNAMON,food_main,2026-02-05,812.0,g,5 Februari 2026
APPLE SYRUP MONIN,Apple Syrup Monin,beverage_main,2026-02-05,5410.0,ml,5 Februari 2026
AW 250 ML,AW 250 ML,beverage_main,2026-02-05,8.0,pcs,5 Februari 2026
BORA 250ML,BORA 250ml,beverage_main,2026-02-05,11.0,pcs,5 Februari 2026
BACON,BACON,food_main,2026-02-05,2089.0,g,5 Februari 2026
BAKING POWDER HERCULES,BAKING POWDER HERCULES,food_main,2026-02-05,1255.0,g,5 Februari 2026
BAKING POWDER KOEPOE,BAKING POWDER KOEPOE,food_main,2026-02-05,1000.0,g,5 Februari 2026
BAKING SODA KOEPOE,Baking Soda Koepoe,food_main,2026-02-05,646.0,g,5 Februari 2026
CREAM CHEESE,CREAM CHEESE,sauce,2026-02-05,4241.0,g,5 Februari 2026
BAWANG BOMBAY,BAWANG BOMBAY,food_main,2026-02-05,3181.0,g,5 Februari 2026
BAWANG BOMBAY MERAH,BAWANG BOMBAY MERAH,beverage_main,2026-02-05,0.0,g,5 Februari 2026
BAWANG MERAH,Bawang Merah,food_main,2026-02-05,0.0,g,5 Februari 2026
BAWANG PUTIH,BAWANG PUTIH,food_main,2026-02-05,319.0,g,5 Februari 2026
BAYLEAF,BAYLEAF,food_main,2026-02-05,74.0,g,5 Februari 2026
BBQ,BBQ,sauce,2026-02-05,2343.0,g,5 Februari 2026
BERAS,BERAS,beverage_main,2026-02-05,1220.0,g,5 Februari 2026
BIG MAC,BIG MAC,sauce,2026-02-05,2804.0,g,5 Februari 2026
BLACK PAPER POWDER,BLACK PAPER POWDER,food_main,2026-02-05,2226.0,g,5 Februari 2026
BLACK TEA,BLACK TEA,beverage_main,2026-02-05,2603.0,g,5 Februari 2026
BOX CHICKEN WAFFLE (L),BOX CHICKEN WAFFLE (L),condiment,2026-02-05,2362.0,pcs,5 Februari 2026
BOX SANDWHICH (M),BOX SANDWHICH (M),condiment,2026-02-05,617.0,pcs,5 Februari 2026
BOX NASI,BOX NASI,condiment,2026-02-05,476.0,pcs,5 Februari 2026
BROWN SUGAR,Brown Sugar,food_main,2026-02-05,589.0,g,5 Februari 2026
BROWN TOAST,Brown Toast,food_main,2026-02-05,43.0,pcs,5 Februari 2026
BUFFALO,BUFFALO,sauce,2026-02-05,2254.0,g,5 Februari 2026
BUMBU NASHVILLE KERING,BUMBU NASHVILLE KERING,beverage_main,2026-02-05,687.0,g,5 Februari 2026
BUMBU TEPUNG AYAM,BUMBU TEPUNG AYAM,beverage_main,2026-02-05,679.0,g,5 Februari 2026
BURGER BUN,BURGER BUN,food_main,2026-02-05,1.0,pcs,5 Februari 2026
CABAI TEROPONG HIJAU,CABAI TEROPONG HIJAU,food_main,2026-02-05,310.0,g,5 Februari 2026
CABAI RAWIT,CABAI RAWIT,food_main,2026-02-05,126.0,g,5 Februari 2026
CARAMEL SAUCE,CARAMEL SAUCE,beverage_main,2026-02-05,208.0,ml,5 Februari 2026
CAYENNE POWDER,CAYENNE POWDER,food_main,2026-02-05,838.0,g,5 Februari 2026
CHEDDAR BLOCK,CHEDDAR BLOCK,food_main,2026-02-05,0.0,g,5 Februari 2026
CHILLI POWDER YUTAKACHI,CHILLI POWDER YUTAKACHI,food_main,2026-02-05,0.0,g,5 Februari 2026
CHIPOTLE KALENG,Chipotle kaleng,food_main,2026-02-05,1603.0,g,5 Februari 2026
CHIPOTLE DRESSING,Chipotle dressing,sauce,2026-02-05,1517.0,g,5 Februari 2026
CINNAMON POWDER,CINNAMON POWDER,food_main,2026-02-05,378.0,g,5 Februari 2026
COKLAT POWDER,COKLAT POWDER,food_main,2026-02-05,320.0,g,5 Februari 2026
COLA 250 ML,COLA 250 ML,beverage_main,2026-02-05,140.0,pcs,5 Februari 2026
COLATTA CHOCOCHIPS,COLATTA CHOCOCHIPS,food_main,2026-02-05,702.0,g,5 Februari 2026
COLESLAW,COLESLAW,beverage_main,2026-02-05,641.0,g,5 Februari 2026
CUKA,CUKA,food_main,2026-02-05,650.0,pcs,5 Februari 2026
CUP 14 OZ,CUP 14 OZ,condiment,2026-02-05,641.0,pcs,5 Februari 2026
CUP ICE CREAM LAR,CUP ICE CREAM Lar,condiment,2026-02-05,838.0,pcs,5 Februari 2026
CUP SAOS PLASTIK 35 ML,CUP SAOS PLASTIK 35 ML,condiment,2026-02-05,286.0,pcs,5 Februari 2026
CUP SAOS PLASTIK 60 ML,CUP SAOS PLASTIK 60 ML,condiment,2026-02-05,113.0,pcs,5 Februari 2026
